DateKey,YearMonth,Year,MonthNumber,product_id,product_name,category_name,warehouse_id,abc_class,stock_on_hand,stock_cover_days,avg_daily_demand,stock_value_gbp,excess_stock_value_gbp,potential_revenue,gross_margin_value,is_stock_out,is_slow_mover,is_at_risk,days_cover_band
20240101,2024-01,2024,1,PRD-00001,Premium Kitchen Roll 6-Pack,Household Essentials,WH-002,C,203,79.8,2.54,1004.85,0.0,1197.7,161.78085000000002,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00002,Aluminium Foil 30m Roll,Household Essentials,WH-001,C,309,79.9,3.87,998.07,0.0,1198.92,167.67576,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00003,Cling Film 100m,Household Essentials,WH-002,C,215,79.8,2.69,943.85,0.0,1197.55,199.15235,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00004,Bin Bags 40L 50-Pack,Household Essentials,WH-003,B,204,79.6,2.56,2537.76,0.0,2986.56,380.664,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00005,Washing Up Liquid 500ml,Household Essentials,WH-002,C,169,79.9,2.12,948.09,0.0,1198.21,198.15080999999998,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00006,Dishwasher Tablets 60-Pack,Household Essentials,WH-002,C,127,79.6,1.6,982.98,0.0,1193.8,173.00448,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00007,Kitchen Cleaner Spray 750ml,Household Essentials,WH-001,B,226,79.9,2.83,2359.44,0.0,2996.7599999999998,500.20128,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00008,Toilet Cleaner 750ml,Household Essentials,WH-002,C,273,79.7,3.42,1023.75,0.0,1195.74,146.39625,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00009,Bathroom Cleaner 500ml,Household Essentials,WH-001,C,194,79.7,2.44,937.02,0.0,1195.04,203.33334,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00010,Multi-Surface Wipes 80-Pack,Household Essentials,WH-001,C,371,79.9,4.64,997.99,0.0,1198.33,166.66433,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00011,Sponge Scourers 10-Pack,Household Essentials,WH-002,B,185,79.6,2.32,2421.65,0.0,2984.0499999999997,455.27020000000005,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00012,Paper Towels 12-Roll,Household Essentials,WH-002,C,123,79.9,1.54,1023.36,0.0,1198.02,149.41056,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00013,Rubber Gloves Medium Pair,Household Essentials,WH-002,B,263,80.0,3.29,2490.61,0.0,2998.2000000000003,420.91309,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00014,Oven Cleaner 300ml,Household Essentials,WH-001,C,126,79.7,1.58,939.96,0.0,1195.74,201.15144,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00015,Drain Unblocker 500ml,Household Essentials,WH-003,C,419,79.9,5.24,1026.55,0.0,1198.34,148.84974999999997,False,False,False,Excess (60-90d)
20240101,2024-01,2024,1,PRD-00016,Moisturising Hand Cream 100ml,Personal Care,WH-003,C,175,79.9,2.19,738.5,0.0,1198.75,283.584,False,False,False,Excess (60-90d)
